Date,Name,Value LockedTVL,7 days change% / 7 days,Market share,Purpose,TechnologyTech,Source,Timestamp
2021-09-13,Arbitrum,$2.2B,+3263.90%,73.75%,Universal,Optimistic Rollup,L2BEAT,2021-09-13 16:32:29
2021-09-13,dYdX,$329.8M,+15.51%,10.89%,Exchange,ZK Rollup,L2BEAT,2021-09-13 16:32:29
2021-09-13,Optimism,$155.7M,-0.97%,5.14%,Universal,Optimistic Rollup,L2BEAT,2021-09-13 16:32:29
2021-09-13,Loopring,$138.6M,-4.72%,4.58%,"Payments, Exchange",ZK Rollup,L2BEAT,2021-09-13 16:32:29
2021-09-13,ZKSwap V2,$77.3M,-12.25%,2.55%,"Payments, Exchange",ZK Rollup,L2BEAT,2021-09-13 16:32:29
2021-09-13,DeversiFi,$44.6M,-11.96%,1.47%,Exchange,Validium,L2BEAT,2021-09-13 16:32:29
2021-09-13,zkSync,$13.7M,-7.77%,0.45%,Payments,ZK Rollup,L2BEAT,2021-09-13 16:32:29
2021-09-13,Sorare,$12.5M,+4.55%,0.41%,"NFT, Exchange",Validium,L2BEAT,2021-09-13 16:32:29
2021-09-13,ZKSwap,$10.2M,-13.13%,0.34%,"Payments, Exchange",ZK Rollup,L2BEAT,2021-09-13 16:32:29
2021-09-13,Habitat,$4M,+92.02%,0.13%,"DAO, Treasury",Optimistic Rollup,L2BEAT,2021-09-13 16:32:29
2021-09-13,OMG Network,$3.1M,-0.26%,0.10%,Payments,Plasma,L2BEAT,2021-09-13 16:32:29
2021-09-13,ImmutableX,$2.7M,-4.16%,0.09%,"NFT, Exchange",Validium,L2BEAT,2021-09-13 16:32:29
2021-09-13,LeverJ,$1.5M,-9.73%,0.05%,Exchange,Plasma,L2BEAT,2021-09-13 16:32:29
2021-09-13,Aztec,$1.1M,-8.02%,0.04%,Private payments,ZK Rollup,L2BEAT,2021-09-13 16:32:29
2021-09-13,Polygon Hermez,$314K,-44.61%,0.01%,Payments,ZK Rollup,L2BEAT,2021-09-13 16:32:29
2021-09-13,Layer2.Finance,$256.9K,+1.41%,0.01%,DeFi aggregation,Optimistic Rollup,L2BEAT,2021-09-13 16:32:29
2021-09-13,Fuel,$6.9,+0.00%,0.00%,Payments,Optimistic Rollup,L2BEAT,2021-09-13 16:32:29
