Date,Name,Value LockedTVL,% / 7 days,Market share,Purpose,Technology,Source,Timestamp
2021-08-06,Loopring,$119.4M,-0.63%,25.87%,"Payments, Exchange",ZKR,L2BEAT,2021-08-06 11:36:49
2021-08-06,Nahmii 1.0,$105.6M,+5.79%,22.89%,Payments,STP,L2BEAT,2021-08-06 11:36:49
2021-08-06,Optimism,$93.5M,+10.12%,20.27%,Universal,ORU,L2BEAT,2021-08-06 11:36:49
2021-08-06,dYdX,$78.6M,+65.70%,17.04%,Exchange,ZKR,L2BEAT,2021-08-06 11:36:49
2021-08-06,DeversiFi,$26.4M,+12.53%,5.73%,Exchange,VAL,L2BEAT,2021-08-06 11:36:49
2021-08-06,zkSync,$10.6M,+19.27%,2.30%,Payments,ZKR,L2BEAT,2021-08-06 11:36:49
2021-08-06,Sorare,$8.6M,+43.93%,1.87%,"NFT, Exchange",VAL,L2BEAT,2021-08-06 11:36:49
2021-08-06,ZKSwap,$8.4M,-78.35%,1.81%,"Payments, Exchange",VAL,L2BEAT,2021-08-06 11:36:49
2021-08-06,OMG Network,$3.1M,+0.31%,0.66%,Payments,PLA,L2BEAT,2021-08-06 11:36:49
2021-08-06,Habitat,$1.9M,+38.24%,0.41%,"DAO, Treasury",ORU,L2BEAT,2021-08-06 11:36:49
2021-08-06,LeverJ,$1.8M,-39.23%,0.39%,Exchange,PLA,L2BEAT,2021-08-06 11:36:49
2021-08-06,ImmutableX,$1.3M,+37.83%,0.28%,"NFT, Exchange",VAL,L2BEAT,2021-08-06 11:36:49
2021-08-06,Aztec,$859.2K,+24.64%,0.19%,Private payments,ZKR,L2BEAT,2021-08-06 11:36:49
2021-08-06,Hermez,$615.7K,+9.59%,0.13%,Payments,ZKR,L2BEAT,2021-08-06 11:36:49
2021-08-06,Arbitrum,$378K,+26.37%,0.08%,Universal,ORU,L2BEAT,2021-08-06 11:36:49
2021-08-06,Layer2.Finance,$254.7K,+0.60%,0.06%,DeFi aggregation,ORU,L2BEAT,2021-08-06 11:36:49
2021-08-06,Fuel,$4.2,+0.00%,0.00%,Payments,ORU,L2BEAT,2021-08-06 11:36:49
