Date,Name,Value LockedTVL,7 days change% / 7 days,Market share,Purpose,TechnologyTech,Source,Timestamp
2021-09-06,dYdX,$285.6M,-3.03%,28.47%,Exchange,ZKR,L2BEAT,2021-09-06 13:53:37
2021-09-06,Nahmii 1.0,$159.4M,+14.37%,15.89%,Payments,STP,L2BEAT,2021-09-06 13:53:37
2021-09-06,Optimism,$157.2M,+15.34%,15.68%,Universal,ORU,L2BEAT,2021-09-06 13:53:37
2021-09-06,Loopring,$145.5M,-6.88%,14.51%,"Payments, Exchange",ZKR,L2BEAT,2021-09-06 13:53:37
2021-09-06,ZKSwap V2,$88.1M,+12.64%,8.79%,"Payments, Exchange",ZKR,L2BEAT,2021-09-06 13:53:37
2021-09-06,Arbitrum,$66.3M,+8877.77%,6.61%,Universal,ORU,L2BEAT,2021-09-06 13:53:37
2021-09-06,DeversiFi,$50.7M,+30.37%,5.05%,Exchange,VAL,L2BEAT,2021-09-06 13:53:37
2021-09-06,zkSync,$14.8M,+18.57%,1.48%,Payments,ZKR,L2BEAT,2021-09-06 13:53:37
2021-09-06,Sorare,$11.9M,-0.42%,1.19%,"NFT, Exchange",VAL,L2BEAT,2021-09-06 13:53:37
2021-09-06,ZKSwap,$11.8M,+6.02%,1.18%,"Payments, Exchange",ZKR,L2BEAT,2021-09-06 13:53:37
2021-09-06,OMG Network,$3.1M,+0.65%,0.31%,Payments,PLA,L2BEAT,2021-09-06 13:53:37
2021-09-06,ImmutableX,$2.8M,+23.14%,0.28%,"NFT, Exchange",VAL,L2BEAT,2021-09-06 13:53:37
2021-09-06,Habitat,$2.1M,-5.80%,0.21%,"DAO, Treasury",ORU,L2BEAT,2021-09-06 13:53:37
2021-09-06,LeverJ,$1.6M,+0.18%,0.16%,Exchange,PLA,L2BEAT,2021-09-06 13:53:37
2021-09-06,Aztec,$1.2M,+20.83%,0.12%,Private payments,ZKR,L2BEAT,2021-09-06 13:53:37
2021-09-06,Hermez,$566.8K,+14.86%,0.06%,Payments,ZKR,L2BEAT,2021-09-06 13:53:37
2021-09-06,Layer2.Finance,$253.3K,-0.01%,0.03%,DeFi aggregation,ORU,L2BEAT,2021-09-06 13:53:37
2021-09-06,Fuel,$6.9,+64.29%,0.00%,Payments,ORU,L2BEAT,2021-09-06 13:53:37
